Vendor,Order Type,Material Shu vs Non Shu,Order Type Screen All Together,MATERIAL,Substrate Description,Current vs Old Sku,Replacement Ground,Material Group,Material Color,Material Group - Color,Product Type,Material Width,Cost Per Yard,Avg Sisal Cost Per Yard,All Grounds Cost Per Yard,Curr Vendor Cost Per Yard,FOB Cost Per Yard,On Hand Yards,BNY On Hand,Para On Hand,2025 Ground,3rd Party Price,Schumacher Price,Lead Time (in weeks),Lead Time in Months
"P+W International Co., Ltd.",Screen Print,Schu,Screen Print,PNW5004712 Peacock,HARUKI SISAL Color: PEACOCK,Current,PNW5004712 Peacock,HARUKI SISAL,Peacock,HARUKI SISAL -Peacock,GRASS,36,4.78,5.9,4.66,4.66,,480,0,480,PNW5004712 Peacock,9,7,8-10 weeks,6
"P+W International Co., Ltd.",Screen Print,Schu,Screen Print,PNW5010851 Petal,HARUKI SISAL Color: PETAL,Current,PNW5010851 Petal,HARUKI SISAL,Petal,HARUKI SISAL -Petal,GRASS,36,4.78,5.9,4.66,4.66,,1920,0,1920,PNW5010851 Petal,9,7,8-10 weeks,6
"P+W International Co., Ltd.",Screen Print,Schu,Screen Print,PNW5004721 Plum,5004724 HAURKI SISAL PLUM,Current,PNW5004721 Plum,HARUKI SISAL,Plum,HARUKI SISAL -Plum,GRASS,36,4.78,5.9,4.65,4.66,,3751,0,3751,PNW5004721 Plum,9,7,8-10 weeks,6
"P+W International Co., Ltd.",Screen Print,Schu,Screen Print,PNW5004705 Robin's Egg,HARUKI SISAL Color: ROBIN'S EGG,Current,PNW5004705 Robin's Egg,HARUKI SISAL,Robins,HARUKI SISAL -Robins,GRASS,36,4.78,5.9,4.66,4.66,,5390,0,5390,PNW5004705 Robin's Egg,9,7,8-10 weeks,6
"P+W International Co., Ltd.",Screen Print,Schu,Screen Print,PNW5004710 Sage,HARUKI SISAL 5004710 SAGE,Current,PNW5004710 Sage,HARUKI SISAL,Sage,HARUKI SISAL -Sage,GRASS,36,4.78,5.9,4.66,4.66,,2880,0,2880,PNW5004710 Sage,9,7,8-10 weeks,6
"P+W International Co., Ltd.",Screen Print,Schu,Screen Print,PNW5010850 Sand,5010850 HARUKI SISAL: SAND,Current,PNW5010850 Sand,HARUKI SISAL,Sand,HARUKI SISAL -Sand,GRASS,36,4.78,5.9,4.66,4.66,,3544,0,3544,PNW5010850 Sand,9,7,8-10 weeks,6
"P+W International Co., Ltd.",Screen Print,Schu,Screen Print,PNW5004717 Seaglass,5004717 HARUKI SISAL: SEAGLASS,Current,PNW5004717 Seaglass,HARUKI SISAL,Seaglass,HARUKI SISAL -Seaglass,GRASS,36,4.78,5.9,4.66,4.66,,6240,0,6240,PNW5004717 Seaglass,9,7,8-10 weeks,6
"P+W International Co., Ltd.",Screen Print,Schu,Screen Print,PNW5004711 Sepia,5004711 HARUKI SISAL Sepia,Current,PNW5004711 Sepia,HARUKI SISAL,Sepia,HARUKI SISAL -Sepia,GRASS,36,4.78,5.9,4.66,4.66,,2808,0,2808,PNW5004711 Sepia,9,7,8-10 weeks,6
TWIL WALLCOVERINGS,Screen Print,Schu,Screen Print,PAR5007871 PLATINUM SHIMMER,HEMP SHIMMER Color: PLATINUM SHIMMER,Current,PAR5007871 PLATINUM SHIMMER,HARUKI SISAL,Shimmer Platinum,HARUKI SISAL -Shimmer Platinum,GRASS,36,7.7,5.9,7.7,4.66,,936,0,936,,9,7,8-10 weeks,6
TWIL WALLCOVERINGS,Screen Print,Schu,Screen Print,PAR5007872 HEMP SHIMMER (Silver),5007872 HEMP SHIMMER (SILVER),Current,PAR5007872 HEMP SHIMMER (Silver),HARUKI SISAL,Shimmer Silver,HARUKI SISAL -Shimmer Silver,GRASS,36,7.7,5.9,7.7,4.66,,3950,0,3950,PAR5007872 HEMP SHIMMER (Silver),9,7,8-10 weeks,6
